action,service,operation_type,risk_level,risk_weight,reason
ec2:GetVerifiedAccessEndpointTargets,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:DescribeUserImportJob,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:DeleteUsagePlanKey,API Gateway,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:ListResourceServers,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeVpcBlockPublicAccessOptions,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:UpdateServerCertificate,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:StartMlflowTrackingServer,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:PutBucketNotification,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:ListTypeRegistrations,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:CreatePartitionIndex,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:UpdateStack,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:SetUserMFAPreference,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:DeletePromptRouter,Bedrock,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ecs:UpdateService,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetBlueprint,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:UpdateHubContent,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeInstanceStatus,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:ListLayerVersions,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:EnableIpamOrganizationAdminAccount,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeInstanceTypes,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:UpdateSpace,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
events:ListApiDestinations,EventBridge,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeDeviceFleet,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListDeviceFleets,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:ListDocumentClassifiers,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:UpdateJob,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigateway:GetDeployments,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DeleteIntegration,CloudWatch Logs,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
iam:GetOpenIDConnectProvider,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:AddTagsToResource,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:DissociatePackage,OpenSearch,OTHER,MEDIUM,5,Project-defined review required for this operation.
secretsmanager:ListSecrets,Secrets Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:GetFunctionRecursionConfig,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:DeleteUserAttributes,Cognito Identity,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
opensearch:DeleteVpcEndpoint,OpenSearch,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
dynamodb:ListExports,DynamoDB,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:CreateCatalog,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:DescribeWarmPool,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:AssociateTrunkInterface,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:CreateCustomModel,Bedrock,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:CreateServiceLinkedRole,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
route53:DeleteHealthCheck,Route 53,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
s3:GetBucketAcl,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
sns:GetTopicAttributes,SNS,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:DeleteAccessKey,IAM,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
opensearch:RemoveTags,OpenSearch,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:ModifyIpamScope,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:GetAssociatedIpv6PoolCidrs,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:PutResourcePolicy,Comprehend,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
cloudformation:ListExports,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetSecurityConfiguration,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:UpdateAssociation,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:DescribeCustomDomainAssociations,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:ListFoundationModels,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteVerifiedAccessTrustProvider,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:CreateTrafficMirrorFilter,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
eks:ListFargateProfiles,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
kinesis:EnableEnhancedMonitoring,Kinesis,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DescribeDBLogFiles,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudformation:DeleteStack,CloudFormation,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
dynamodb:DeleteResourcePolicy,DynamoDB,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
apigateway:GetIntegration,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListAlgorithms,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
sns:AddPermission,SNS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
comprehend:DescribeSentimentDetectionJob,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:CreateModel,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DescribeCluster,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:AssociateClientVpnTargetNetwork,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:ListExperiments,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:CreateScript,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeSpotInstanceRequests,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:DeleteEndpoint,Comprehend,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:ListUsersInGroup,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:ListCommands,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:UpdateDocumentDefaultVersion,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CopySnapshot,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sts:AssumeRoleWithWebIdentity,STS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ssm:DeleteAssociation,Systems Manager,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:CreateEndpointConfig,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:UpdateMaintenanceWindowTask,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:ReimportApi,API Gateway V2,OTHER,MEDIUM,5,Project-defined review required for this operation.
rds:DescribeCertificates,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:GetLayerVersionByArn,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateLocalGatewayRouteTable,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateTransitGatewayConnectPeer,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeElasticGpus,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:GetModelTemplate,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudformation:GetHookResult,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:UntagResource,KMS,TAGGING,LOW,3,Changes resource tags or metadata.
sagemaker:DeleteHumanTaskUi,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:UntagResource,API Gateway,TAGGING,LOW,3,Changes resource tags or metadata.
ecs:UpdateCapacityProvider,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetMaterializedViewRefreshTaskRun,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DeleteDBClusterEndpoint,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
comprehend:ListDominantLanguageDetectionJobs,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:StopDBInstanceAutomatedBackupsReplication,RDS,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ssm:StartSession,Systems Manager,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
apigateway:UpdateDocumentationPart,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kinesis:MergeShards,Kinesis,OTHER,MEDIUM,5,Project-defined review required for this operation.
sagemaker:UpdateNotebookInstance,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:DeletePatchBaseline,Systems Manager,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:CreateModelExplainabilityJobDefinition,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:CreateDBSecurityGroup,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
guardduty:GetThreatEntitySet,GuardDuty,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:DeleteCidrCollection,Route 53,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:EnableTransitGatewayRouteTablePropagation,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DisassociateTransitGatewayPolicyTable,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:ModifyTransitGatewayPrefixListReference,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:UpdateScheduledQuery,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:StartExportTask,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:StartDomainMaintenance,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:BatchStopJobRun,Glue,OTHER,MEDIUM,5,Project-defined review required for this operation.
cognito-idp:UpdateTerms,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:GetServerCertificate,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudwatch:TagResource,CloudWatch,TAGGING,LOW,3,Changes resource tags or metadata.
sagemaker:ListOptimizationJobs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:GetDevice,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:GetTransitGatewayPolicyTableEntries,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
cognito-idp:AdminGetDevice,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:CreateInstanceConnectEndpoint,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:AssociateDelegationRequest,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
route53:ListTrafficPolicies,Route 53,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:SendDurableExecutionCallbackHeartbeat,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:StartDBCluster,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeReservedInstancesListings,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:DeleteCodeSigningConfig,Lambda,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
opensearch:PutDefaultApplicationSetting,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:CreateDBProxy,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:DescribeAvailablePatches,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:UpdateBasePathMapping,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecr:PutImageTagMutability,ECR,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:LockSnapshot,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
glue:CreateMLTransform,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:DeleteResourceServer,Cognito Identity,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
rds:DescribeReservedDBInstances,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
eks:DisassociateIdentityProviderConfig,EKS,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
redshift:RebootCluster,Redshift,OTHER,MEDIUM,5,Project-defined review required for this operation.
guardduty:CreateFilter,GuardDuty,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ModifySpotFleetRequest,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kms:RotateKeyOnDemand,KMS,OTHER,MEDIUM,5,Project-defined review required for this operation.
autoscaling:DescribeScalingActivities,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
eks:ListIdentityProviderConfigs,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:DescribeContainerInstances,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DisableSnapshotBlockPublicAccess,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
cloudtrail:GetDashboard,CloudTrail,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteTrafficMirrorFilter,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:CreateCarrierGateway,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:UpdateResourceDataSync,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:DetachGroupPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
kms:ListResourceTags,KMS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:AssociateDhcpOptions,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:DeleteBucketMetricsConfiguration,S3,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:AdminDeleteUser,Cognito Identity,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
firehose:StartDeliveryStreamEncryption,Kinesis Firehose,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeregisterTransitGatewayMulticastGroupSources,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:SearchTransitGatewayMulticastGroups,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudtrail:DisableFederation,CloudTrail,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ecs:DeleteTaskSet,ECS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ssm:TerminateSession,Systems Manager,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:StopTrigger,Glue,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
s3:SelectObjectContent,S3,OTHER,MEDIUM,5,Project-defined review required for this operation.
ecr:GetSigningConfiguration,ECR,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudtrail:UpdateChannel,CloudTrail,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DescribeHyperParameterTuningJob,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
athena:ListDatabases,Athena,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeIamInstanceProfileAssociations,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:ListOpenIDConnectProviderTags,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:GetObjectLockConfiguration,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:StopCompilationJob,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:CreateCapacityManagerDataExport,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:StopColumnStatisticsTaskRunSchedule,Glue,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
secretsmanager:CancelRotateSecret,Secrets Manager,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
rds:CreateDBClusterSnapshot,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DescribeDBShardGroups,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeStaleSecurityGroups,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:GetIpamPolicyOrganizationTargets,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:GetNetworkInsightsAccessScopeAnalysisFindings,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
guardduty:GetFindingsStatistics,GuardDuty,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:MoveByoipCidrToIpam,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
eks:DeleteNodegroup,EKS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sqs:CancelMessageMoveTask,SQS,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
kms:DeleteAlias,KMS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudformation:DeleteGeneratedTemplate,CloudFormation,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
route53:GetHostedZoneLimit,Route 53,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteVpcEndpoints,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
kms:EnableKey,KMS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:DeleteTags,Auto Scaling,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:CreateExperiment,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DeleteDeviceFleet,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudformation:ActivateOrganizationsAccess,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecr:SetRepositoryPolicy,ECR,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:ListAIBenchmarkJobs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:ListAutomatedReasoningPolicies,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DescribeClusterParameters,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:GetAccessKeyLastUsed,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DeleteHsmConfiguration,Redshift,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:GetGroup,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:GetLayerVersionPolicy,Lambda,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
autoscaling:RollbackInstanceRefresh,Auto Scaling,OTHER,MEDIUM,5,Project-defined review required for this operation.
rds:StopDBInstance,RDS,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:EnableIpamPolicy,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:CreateVpnConnection,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ModifyVerifiedAccessGroupPolicy,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:DeleteEdgeDeploymentStage,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sts:GetSessionToken,STS,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudtrail:GetEventSelectors,CloudTrail,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:GetImportedModel,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:CreateService,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:UpdateManagedInstanceRole,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecr:GetAuthorizationToken,ECR,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
bedrock:ListEnforcedGuardrailsConfiguration,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListTransformJobs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:StopModelCustomizationJob,Bedrock,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ssm:ListTagsForResource,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
dynamodb:DescribeGlobalTableSettings,DynamoDB,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:ListVPCAssociationAuthorizations,Route 53,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
bedrock:UpdateAutomatedReasoningPolicyAnnotations,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
cloudformation:DescribeChangeSet,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DescribeBlueGreenDeployments,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyInstanceCreditSpecification,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:CreateDBShardGroup,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:DeleteBucketWebsite,S3,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigatewayv2:GetProductRestEndpointPage,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DisassociateTrialComponent,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:CreateDefaultSubnet,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:DescribeInventoryDeletions,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DeleteIntegration,Redshift,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
kinesis:DescribeAccountSettings,Kinesis,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:RevokeGrant,KMS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
glue:StopColumnStatisticsTaskRun,Glue,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
sagemaker:DeleteHub,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
comprehend:UpdateEndpoint,Comprehend,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:UpdatePartnerApp,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ModifyVpcBlockPublicAccessExclusion,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:DescribeDestinations,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:UpdateAutomatedReasoningPolicyTestCase,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
apigatewayv2:UpdatePortal,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:ListAssociations,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:DeleteRolePolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
redshift:DescribeEndpointAccess,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:DeleteRegistry,Glue,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
bedrock:BatchDeleteAdvancedPromptOptimizationJob,Bedrock,OTHER,MEDIUM,5,Project-defined review required for this operation.
redshift:DeleteAuthenticationProfile,Redshift,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sns:Unsubscribe,SNS,OTHER,MEDIUM,5,Project-defined review required for this operation.
secretsmanager:RestoreSecret,Secrets Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:GetScheduledQuery,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
kinesis:DeleteResourcePolicy,Kinesis,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:DisableIpamOrganizationAdminAccount,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
s3:GetBucketVersioning,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:GetCredentialReport,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:ListUserPoolClientSecrets,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:PutBucketMetricsConfiguration,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:CreateEventSubscription,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeImageUsageReportEntries,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
eks:ListAssociatedAccessPolicies,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:UpdateLoginProfile,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:GetRouteServerRoutingDatabase,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:GetApiMappings,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DescribePatchGroupState,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:GetBucketMetadataTableConfiguration,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:StartImportLabelsTaskRun,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteSpotDatafeedSubscription,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:AdminResetUserPassword,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
logs:DescribeQueries,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
events:RemovePermission,EventBridge,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
autoscaling:DescribeNotificationConfigurations,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:AddPartner,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:ModifyTenantDatabase,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
